                       trigger     Log(Pbol[0.001,20000]Kev)     Log(Sbol[0.001,20000]Kev)                      Log(Epk)                  Log(EPR1024)                      Log(EFR)                  Log(FPR1024)                      Log(T90)
                          7705                 -0.634065E+01                 -0.576997E+01                  0.236200E+01                  0.870265E+01                  0.813197E+01                  0.570680E+00                  0.119700E+01
                          1661                 -0.661757E+01                 -0.512357E+01                  0.267500E+01                  0.929257E+01                  0.779857E+01                  0.149400E+01                  0.156431E+01
                           820                 -0.644750E+01                 -0.517050E+01                  0.265100E+01                  0.909850E+01                  0.782150E+01                  0.127700E+01                  0.150079E+01
                          1601                 -0.561773E+01                 -0.448133E+01                  0.296600E+01                  0.858373E+01                  0.744733E+01                  0.113640E+01                  0.168583E+01
                          5513                 -0.684445E+01                 -0.579475E+01                  0.234000E+01                  0.918445E+01                  0.813475E+01                  0.104970E+01                  0.123019E+01
                          3908                 -0.637956E+01                 -0.576356E+01                  0.235400E+01                  0.873356E+01                  0.811756E+01                  0.616000E+00                  0.114364E+01
                          1830                 -0.626597E+01                 -0.479887E+01                  0.281400E+01                  0.907997E+01                  0.761287E+01                  0.146710E+01                  0.219061E+01
                          3471                 -0.647789E+01                 -0.538239E+01                  0.253500E+01                  0.901289E+01                  0.791739E+01                  0.109550E+01                  0.129688E+01
                          6631                 -0.646976E+01                 -0.586886E+01                  0.229200E+01                  0.876176E+01                  0.816086E+01                  0.600900E+00                  0.855400E+00
                          5626                 -0.650432E+01                 -0.552732E+01                  0.245900E+01                  0.896332E+01                  0.798632E+01                  0.977000E+00                  0.134772E+01
                          1468                 -0.539108E+01                 -0.426138E+01                  0.305200E+01                  0.844308E+01                  0.731338E+01                  0.112970E+01                  0.170876E+01
                          2727                 -0.653173E+01                 -0.502773E+01                  0.269400E+01                  0.922573E+01                  0.772173E+01                  0.150400E+01                  0.180814E+01
                          6330                 -0.682484E+01                 -0.590444E+01                  0.226100E+01                  0.908584E+01                  0.816544E+01                  0.920400E+00                  0.116227E+01
                          7108                 -0.635023E+01                 -0.575292E+01                  0.233500E+01                  0.868523E+01                  0.808792E+01                  0.597310E+00                  0.219618E+01
                          1740                 -0.651389E+01                 -0.543659E+01                  0.248800E+01                  0.900189E+01                  0.792459E+01                  0.107730E+01                  0.180359E+01
                          7533                 -0.647602E+01                 -0.596032E+01                  0.223000E+01                  0.870602E+01                  0.819032E+01                  0.515700E+00                  0.982270E+00
                          7064                 -0.612280E+01                 -0.520127E+01                  0.259900E+01                  0.872180E+01                  0.780027E+01                  0.921530E+00                  0.161374E+01
                          7576                 -0.671217E+01                 -0.535227E+01                  0.252500E+01                  0.923717E+01                  0.787727E+01                  0.135990E+01                  0.149638E+01
                          6271                 -0.640319E+01                 -0.532909E+01                  0.253500E+01                  0.893819E+01                  0.786409E+01                  0.107410E+01                  0.177887E+01
                          5470                 -0.529480E+01                 -0.446790E+01                  0.293800E+01                  0.823280E+01                  0.740590E+01                  0.826900E+00                  0.148287E+01
                          1579                 -0.552943E+01                 -0.454553E+01                  0.290200E+01                  0.843143E+01                  0.744753E+01                  0.983900E+00                  0.186611E+01
                          1291                 -0.599218E+01                 -0.518358E+01                  0.260100E+01                  0.859318E+01                  0.778458E+01                  0.808600E+00                  0.118469E+01
                          3350                 -0.628354E+01                 -0.532404E+01                  0.253000E+01                  0.881354E+01                  0.785404E+01                  0.959500E+00                  0.111594E+01
                          2437                 -0.669474E+01                 -0.589564E+01                  0.224700E+01                  0.894174E+01                  0.814264E+01                  0.799100E+00                  0.120140E+01
                          3370                 -0.646765E+01                 -0.573895E+01                  0.232400E+01                  0.879165E+01                  0.806295E+01                  0.728700E+00                  0.158467E+01
                          2419                 -0.653911E+01                 -0.536941E+01                  0.249900E+01                  0.903811E+01                  0.786841E+01                  0.116970E+01                  0.188230E+01
                          5632                 -0.606592E+01                 -0.446912E+01                  0.292400E+01                  0.898992E+01                  0.739312E+01                  0.159680E+01                  0.169381E+01
                          8062                 -0.638571E+01                 -0.517651E+01                  0.258800E+01                  0.897371E+01                  0.776451E+01                  0.120920E+01                  0.212516E+01
                           235                 -0.658319E+01                 -0.538389E+01                  0.248400E+01                  0.906719E+01                  0.786789E+01                  0.119930E+01                  0.142210E+01
                          7684                 -0.611281E+01                 -0.459561E+01                  0.285700E+01                  0.896981E+01                  0.745261E+01                  0.151720E+01                  0.188098E+01
                           223                 -0.674522E+01                 -0.640128E+01                  0.196500E+01                  0.871022E+01                  0.836628E+01                  0.343940E+00                  0.146509E+01
                          2515                 -0.646015E+01                 -0.618255E+01                  0.207100E+01                  0.853115E+01                  0.825355E+01                  0.277600E+00                  0.102243E+01
                          6223                 -0.669324E+01                 -0.608074E+01                  0.212300E+01                  0.881624E+01                  0.820374E+01                  0.612500E+00                  0.104179E+01
                          1120                 -0.691222E+01                 -0.625635E+01                  0.202100E+01                  0.893322E+01                  0.827735E+01                  0.655870E+00                  0.958470E+00
                          2986                 -0.659949E+01                 -0.603219E+01                  0.213100E+01                  0.873049E+01                  0.816319E+01                  0.567300E+00                  0.605520E+00
                           107                 -0.701499E+01                 -0.645569E+01                  0.191100E+01                  0.892599E+01                  0.836669E+01                  0.559300E+00                  0.231931E+01
                          5603                 -0.619909E+01                 -0.475379E+01                  0.274600E+01                  0.894509E+01                  0.749979E+01                  0.144530E+01                  0.171575E+01
                           465                 -0.693050E+01                 -0.627242E+01                  0.199700E+01                  0.892750E+01                  0.826942E+01                  0.658080E+00                  0.114051E+01
                          7662                 -0.684160E+01                 -0.648500E+01                  0.187400E+01                  0.871560E+01                  0.835900E+01                  0.356600E+00                  0.136605E+01
                          1152                 -0.677135E+01                 -0.533765E+01                  0.245100E+01                  0.922235E+01                  0.778865E+01                  0.143370E+01                  0.243917E+01
                          4959                 -0.657135E+01                 -0.523135E+01                  0.250300E+01                  0.907435E+01                  0.773435E+01                  0.134000E+01                  0.149596E+01
                          7798                 -0.647236E+01                 -0.617596E+01                  0.202600E+01                  0.849836E+01                  0.820196E+01                  0.296400E+00                  0.101828E+01
                          2112                 -0.627538E+01                 -0.451068E+01                  0.282700E+01                  0.910238E+01                  0.733768E+01                  0.176470E+01                  0.231827E+01
                          6648                 -0.662837E+01                 -0.534497E+01                  0.242600E+01                  0.905437E+01                  0.777097E+01                  0.128340E+01                  0.194635E+01
                          2472                 -0.680805E+01                 -0.562455E+01                  0.228100E+01                  0.908905E+01                  0.790555E+01                  0.118350E+01                  0.162014E+01
                          3171                 -0.633201E+01                 -0.458841E+01                  0.278100E+01                  0.911301E+01                  0.736941E+01                  0.174360E+01                  0.175755E+01
                          2230                 -0.687659E+01                 -0.628510E+01                  0.193900E+01                  0.881559E+01                  0.822410E+01                  0.591490E+00                  0.866880E+00
                           288                 -0.658089E+01                 -0.512069E+01                  0.251200E+01                  0.909289E+01                  0.763269E+01                  0.146020E+01                  0.161437E+01
                          1167                 -0.685959E+01                 -0.625176E+01                  0.193900E+01                  0.879859E+01                  0.819076E+01                  0.607830E+00                  0.139058E+01
                          2961                 -0.645845E+01                 -0.477395E+01                  0.265900E+01                  0.911745E+01                  0.743295E+01                  0.168450E+01                  0.194763E+01
                          2441                 -0.664566E+01                 -0.512686E+01                  0.247300E+01                  0.911866E+01                  0.759986E+01                  0.151880E+01                  0.176641E+01
                          6487                 -0.656603E+01                 -0.652603E+01                  0.172800E+01                  0.829403E+01                  0.825403E+01                  0.400000E-01                  0.973500E+00
                          7729                 -0.652596E+01                 -0.503526E+01                  0.248700E+01                  0.901296E+01                  0.752226E+01                  0.149070E+01                  0.182943E+01
                          2774                 -0.656190E+01                 -0.508740E+01                  0.246100E+01                  0.902290E+01                  0.754840E+01                  0.147450E+01                  0.174147E+01
                          2442                 -0.673548E+01                 -0.630811E+01                  0.184000E+01                  0.857548E+01                  0.814811E+01                  0.427364E+00                  0.137438E+01
                          3174                 -0.654960E+01                 -0.496710E+01                  0.248100E+01                  0.903060E+01                  0.744810E+01                  0.158250E+01                  0.130384E+01
                          5420                 -0.667792E+01                 -0.498472E+01                  0.246900E+01                  0.914692E+01                  0.745372E+01                  0.169320E+01                  0.171223E+01
                          6911                 -0.651425E+01                 -0.646675E+01                  0.169600E+01                  0.821025E+01                  0.816275E+01                  0.475000E-01                  0.725260E+00
                          3141                 -0.662692E+01                 -0.659082E+01                  0.149900E+01                  0.812592E+01                  0.808982E+01                  0.361000E-01                  0.359840E+00
                          2770                 -0.625302E+01                 -0.404332E+01                  0.278600E+01                  0.903902E+01                  0.682932E+01                  0.220970E+01                  0.225792E+01
                          6782                 -0.633940E+01                 -0.624750E+01                  0.272300E+01                  0.906240E+01                  0.897050E+01                  0.919000E-01                  0.159857E+01
                          7191                 -0.645427E+01                 -0.643567E+01                  0.241500E+01                  0.886927E+01                  0.885067E+01                  0.186000E-01                  0.165254E+01
                          3378                 -0.622156E+01                 -0.533876E+01                  0.290700E+01                  0.912856E+01                  0.824576E+01                  0.882800E+00                  0.988020E+00
                          3926                 -0.617335E+01                 -0.536695E+01                  0.287900E+01                  0.905235E+01                  0.824595E+01                  0.806400E+00                  0.997910E+00
                          3284                 -0.638469E+01                 -0.626638E+01                  0.244600E+01                  0.883069E+01                  0.871238E+01                  0.118310E+00                  0.703810E+00
                          5573                 -0.653292E+01                 -0.564472E+01                  0.273900E+01                  0.927192E+01                  0.838372E+01                  0.888200E+00                  0.892540E+00
                          2862                 -0.648075E+01                 -0.629394E+01                  0.242000E+01                  0.890075E+01                  0.871394E+01                  0.186810E+00                  0.162138E+01
