                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                           974                  0.494808E-06                  0.162915E-05                  0.563638E+03                  0.320000E+01                 -0.630556E+01                 -0.578804E+01                  0.275100E+01                  0.505150E+00                 -0.258800E+00                 -0.310629E+00                  0.905656E+01                  0.853904E+01                  0.224585E+01                  0.517524E+00                  0.681071E+01                  0.629319E+01                 -0.355456E+01                 -0.303704E+01                  0.325615E+01                 -0.120936E+02                 -0.580041E+01                 -0.528289E+01
                          2632                  0.124330E-05                  0.110357E-05                  0.161436E+03                  0.144301E+01                 -0.590543E+01                 -0.595720E+01                  0.220800E+01                  0.159270E+00                  0.384700E+00                  0.275370E+00                  0.811343E+01                  0.816520E+01                  0.204873E+01                 -0.517740E-01                  0.606470E+01                  0.611647E+01                 -0.369743E+01                 -0.374920E+01                  0.236727E+01                 -0.118626E+02                 -0.574616E+01                 -0.579793E+01
                          2844                  0.397897E-06                  0.182498E-06                  0.122462E+03                  0.275201E+01                 -0.640023E+01                 -0.673874E+01                  0.208800E+01                  0.439650E+00                 -0.888400E-01                 -0.149353E+00                  0.848823E+01                  0.882674E+01                  0.164835E+01                 -0.338511E+00                  0.683988E+01                  0.717839E+01                 -0.431223E+01                 -0.465074E+01                  0.252765E+01                 -0.131390E+02                 -0.596058E+01                 -0.629909E+01
                          6753                  0.841856E-06                  0.561803E-05                  0.102565E+04                  0.454402E+01                 -0.607476E+01                 -0.525042E+01                  0.301100E+01                  0.657440E+00                 -0.195600E+00                 -0.230854E+00                  0.908576E+01                  0.826142E+01                  0.235356E+01                  0.824346E+00                  0.673220E+01                  0.590786E+01                 -0.306376E+01                 -0.223942E+01                  0.366844E+01                 -0.113252E+02                 -0.541732E+01                 -0.459298E+01
                          1223                  0.562819E-06                  0.247734E-06                  0.106414E+03                  0.974002E+00                 -0.624963E+01                 -0.660602E+01                  0.202700E+01                 -0.114400E-01                  0.670700E-01                 -0.812680E-01                  0.827663E+01                  0.863302E+01                  0.203844E+01                 -0.356384E+00                  0.623819E+01                  0.659458E+01                 -0.422263E+01                 -0.457902E+01                  0.201556E+01                 -0.128556E+02                 -0.626107E+01                 -0.661746E+01
                          2757                  0.273687E-05                  0.538414E-05                  0.163682E+04                  0.640000E-01                 -0.556275E+01                 -0.526888E+01                  0.321400E+01                 -0.119382E+01                  0.177000E+00                 -0.291802E+00                  0.877675E+01                  0.848288E+01                  0.440782E+01                  0.293862E+00                  0.436893E+01                  0.407506E+01                 -0.234875E+01                 -0.205488E+01                  0.202018E+01                 -0.108316E+02                 -0.675657E+01                 -0.646270E+01
                          5456                  0.182524E-05                  0.169414E-05                  0.183654E+03                  0.390400E+01                 -0.573868E+01                 -0.577105E+01                  0.226400E+01                  0.591510E+00                  0.536800E+00                  0.494963E+00                  0.800268E+01                  0.803505E+01                  0.167249E+01                 -0.323698E-01                  0.633019E+01                  0.636256E+01                 -0.347468E+01                 -0.350705E+01                  0.285551E+01                 -0.115097E+02                 -0.514717E+01                 -0.517954E+01
                          3494                  0.148535E-05                  0.985419E-06                  0.334965E+03                  0.140799E+01                 -0.582817E+01                 -0.600638E+01                  0.252500E+01                  0.148600E+00                  0.345000E+00                  0.233432E+00                  0.835317E+01                  0.853138E+01                  0.237640E+01                 -0.178208E+00                  0.597677E+01                  0.615498E+01                 -0.330317E+01                 -0.348138E+01                  0.267360E+01                 -0.118345E+02                 -0.567957E+01                 -0.585778E+01
                          2454                  0.751413E-06                  0.155108E-05                  0.309030E+03                  0.135900E+01                 -0.612412E+01                 -0.580937E+01                  0.249000E+01                  0.133220E+00                  0.637100E-01                 -0.511329E-01                  0.861412E+01                  0.829937E+01                  0.235678E+01                  0.314756E+00                  0.625734E+01                  0.594259E+01                 -0.363412E+01                 -0.331937E+01                  0.262322E+01                 -0.119335E+02                 -0.599090E+01                 -0.567615E+01
                          3936                  0.330649E-05                  0.431295E-05                  0.171791E+03                  0.287998E+01                 -0.548063E+01                 -0.536523E+01                  0.223500E+01                  0.459390E+00                  0.802800E+00                  0.745008E+00                  0.771563E+01                  0.760023E+01                  0.177561E+01                  0.115406E+00                  0.594002E+01                  0.582462E+01                 -0.324563E+01                 -0.313023E+01                  0.269439E+01                 -0.108459E+02                 -0.502124E+01                 -0.490584E+01
